--- Unified Training v2 (Enhanced) ---
Rank: 0 / 1
Labels: 116
Train: 659 | Val: 165
Epoch 1 | 520/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat9 | Loss = 32.9999
Epoch 1 | 540/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat67 | Loss = 9.2029
Epoch 1 | 560/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat45 | Loss = 26.1752
Epoch 1 | 570/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat53 | Loss = 12.3146
Epoch 1 | 600/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat110 | Loss = 7.5575
Epoch 1 | 610/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat119 | Loss = 18.8404
Epoch 1 | 620/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat61 | Loss = 8.6542
Epoch 1 | 630/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat15 | Loss = 3.4862
Epoch 1 | 640/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat33 | Loss = 7.9016
Epoch 1 | 650/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat64 | Loss = 5.8356
Epoch 1 | 659/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_4__Pat91 | Loss = 5.3723
Epoch 1 COMPLETE | Avg Train Loss = 22.1267 | Val Loss = 11.9786
Saved best checkpoint to checkpoint_best.jld
Epoch 2 | 10/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat104 | Loss = 8.7183
Epoch 2 | 30/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat67 | Loss = 3.3954
Epoch 2 | 40/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat46 | Loss = 13.0349
Epoch 2 | 60/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat68 | Loss = 4.8225
Epoch 2 | 70/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_5__Pat75 | Loss = 4.0796
Epoch 2 | 90/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat114 | Loss = 36.3133
Epoch 2 | 100/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat86 | Loss = 5.9203
Epoch 2 | 110/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat32 | Loss = 4.0896
Epoch 2 | 120/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat6 | Loss = 5.2496
Epoch 2 | 130/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_4__Pat1 | Loss = 2.3409
Epoch 2 | 140/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_6__Pat46 | Loss = 2.8924
Epoch 2 | 160/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat46 | Loss = 28.2985
Epoch 2 | 170/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat20 | Loss = 7.0432
Epoch 2 | 180/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat61 | Loss = 17.5951
Epoch 2 | 200/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat54 | Loss = 4.3783
Epoch 2 | 210/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat124 | Loss = 13.9119
